"seller_state","customer_state","total_freight_value_2017","total_freight_value_2018","avg_seller_processing_time_2017","avg_seller_processing_time_2018","avg_carrier_processing_time_2017","avg_carrier_processing_time_2018","delay_value_pct_per_state_2017","delay_value_pct_per_state_2018","avg_review_2017","avg_review_2018","total_orders_2017","total_orders_2018"
SP,RO,1885.4601,3221.5994,"2 days 19:25:33.653846","1 day 33:43:02.217948","18 days 16:54:13.038461","17 days 16:44:34.858975",7.904701679944992,2.4124663323163986,3.9444444444444444,4.1538461538461538,54,78
PR,MT,506.63,1373.2299,"1 day 31:05:12.0625","1 day 30:01:00.272728","14 days 19:00:59.76923","13 days 28:35:08.484849",15.243867039680481,1.9909266382455826,3.2500000000000000,4.0606060606060606,16,33
MG,GO,1312.79,2208.65,"1 day 18:11:48.734694","1 day 21:43:03","11 days 22:22:29.553192","11 days 15:40:38.15625",5.719117447733879,1.7875174060463905,4.0200000000000000,3.4307692307692308,50,65
DF,MG,461.52,796.8999,"1 day 18:18:33.136364","2 days 25:41:31.317073","7 days 14:38:01.863636","6 days 13:54:19.439024",0.0,1.7693564295768738,3.9545454545454545,3.8536585365853659,22,41
RJ,ES,325.65,1092.01,"1 day 29:04:43.85","2 days 22:43:18.423729","8 days 16:56:14.65","8 days 20:29:53.322034",4.477199539542198,1.3461414724588394,4.2000000000000000,4.4745762711864407,20,59
RS,SP,3286.7202,8456.892,"2 days 19:32:54.308642","2 days 19:40:45.165192","6 days 34:18:26.683229","6 days 32:40:00.991124",1.0706721805036068,0.3485914319753647,4.0887573964497041,4.1202346041055718,169,341
SP,AP,504.99997,1050.27,"1 day 24:30:25.733333","2 days 23:25:29.870967","40 days 05:23:17.2","21 days 19:23:46.709677",24.653467535972595,0.0,4.1875000000000000,4.0000000000000000,16,31
MG,RN,246.2,686.64996,"1 day 19:23:04.75","4 days 13:03:09.642857","13 days 28:36:51.25","8 days 33:19:00.357143",0.0,0.0,3.7500000000000000,4.2857142857142857,8,14
SC,DF,547.67,773.85,"1 day 23:33:39.086956","1 day 21:15:17.857143","10 days 22:28:39.863637","8 days 25:24:49.095238",0.0,0.0,4.4782608695652174,4.4285714285714286,23,21
RS,DF,350.36,566.76996,"9 days 21:50:44.692308","1 day 24:49:59","10 days 17:56:25.923077","8 days 16:51:43.5625",11.839251220226288,0.0,4.0769230769230769,3.9411764705882353,13,17
